time:	0	q:	      0 -1.5708  1.5708 -1.5708 -1.5708  1.5708	 dq:	 -4.0516e-19 -1.01956e-18            0 -2.10942e-18   3.9678e-30  -4.0516e-19
time:	0.001	q:	-4.0516e-22     -1.5708      1.5708     -1.5708     -1.5708      1.5708	 dq:	-7.84283e-19 -2.03312e-18            0  -3.9968e-18  7.17744e-30 -7.49899e-20
time:	0.002	q:	-1.18944e-21      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-1.16179e-18  -3.0463e-18            0 -5.66214e-18   9.9642e-30 -3.21216e-19
time:	0.003	q:	-2.35123e-21      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-1.51917e-18 -4.05484e-18            0 -7.10543e-18  1.22005e-29 -1.16261e-19
time:	0.004	q:	-3.87041e-21      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-1.87153e-18 -5.06222e-18            0 -8.32667e-18  1.41039e-29 -2.65089e-19
time:	0.005	q:	-5.74194e-21      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-2.20763e-18 -6.06584e-18            0  -9.4369e-18  1.56067e-29 -1.37105e-19
time:	0.006	q:	-7.94957e-21      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-2.53684e-18 -7.06788e-18            0 -1.04361e-17  1.68515e-29 -2.26289e-19
time:	0.007	q:	-1.04864e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-2.85236e-18 -8.06676e-18            0 -1.13243e-17  1.78044e-29 -1.45663e-19
time:	0.008	q:	-1.33388e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-3.16007e-18 -9.06383e-18            0 -1.21014e-17  1.85599e-29 -1.98366e-19
time:	0.009	q:	-1.64988e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	 -3.4559e-18 -1.00582e-17            0 -1.27676e-17  1.91032e-29 -1.46919e-19
time:	0.01	q:	-1.99547e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-3.74353e-18 -1.10506e-17            0 -1.33227e-17  1.94974e-29 -1.77348e-19
time:	0.011	q:	-2.36983e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-4.02057e-18 -1.20406e-17            0 -1.38778e-17  1.97379e-29 -1.43917e-19
time:	0.012	q:	-2.77188e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-4.28939e-18 -1.30287e-17            0 -1.44329e-17  1.98673e-29 -1.60783e-19
time:	0.013	q:	-3.20082e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-4.54859e-18 -1.40146e-17            0  -1.4877e-17  1.98862e-29 -1.38513e-19
time:	0.014	q:	-3.65568e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-4.79973e-18 -1.49986e-17            0 -1.53211e-17  1.98236e-29 -1.47158e-19
time:	0.015	q:	-4.13565e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-5.04203e-18 -1.59806e-17            0 -1.56541e-17  1.96825e-29 -1.31835e-19
time:	0.016	q:	-4.63986e-20      -1.5708       1.5708      -1.5708      -1.5708       1.5708	 dq:	-5.27652e-18 -1.69608e-17            0 -1.59872e-17  1.94828e-29  -1.3553e-19
